"co_code","date","open","high","low","close","mcap","volume"
"5400","2022-09-05","3123.65","3147.95","3112.25","3133.4","1146527.16","2147912"
"5400","2022-09-06","3135.5","3140.85","3106.35","3127.05","1144203.66","1936453"
"5400","2022-09-09","3195","3233.5","3168.5","3217.65","1177354.67","1561185"
"5400","2022-09-14","3135","3141.4","3113.8","3120.4","1141770.39","5090269"
"5400","2022-09-15","3130","3137.75","3100","3104.35","1135897.61","2138023"
"5400","2022-09-16","3076","3094.35","3000","3008.7","1100898.79","5322221"
"5400","2022-09-07","3102","3161.9","3102","3149.6","1152454.82","1291534"
"5400","2022-09-08","3170","3183.5","3160.1","3169.65","1159791.22","1346113"
"5400","2022-09-12","3239.9","3269.8","3225","3242.95","1186612.07","1785928"
"5400","2022-09-13","3263.45","3263.45","3225","3229.35","1181635.76","1972678"
"5400","2022-09-22","2990","3029.95","2979.3","3007.4","1100423.11","2017983"
"5400","2022-09-20","3050","3079.95","3030","3040.3","1112461.39","1544295"
"5400","2022-09-21","3028","3041.4","2998.15","3001.2","1098154.5","2253818"
"5400","2022-09-27","3009.4","3025","2976","3017.45","1104100.46","2227447"
"5400","2022-09-23","3004","3022.5","2979","2982.05","1091147.41","2652374"
"5400","2022-09-26","2959.85","3025.85","2926.1","2994.4","1095666.34","2925489"
"5400","2022-09-30","2990.85","3019.7","2950.1","3004.55","1099380.28","2817353"
"5400","2022-09-28","2980","3049.95","2980","3035.65","1110759.93","2739767"
"5400","2022-09-29","3054","3055.85","2990","2997.3","1096727.47","2493902"
"5400","2022-10-03","2995","3020.7","2974","2984.95","1092208.54","1763331"
"5400","2022-10-07","3097.4","3105","3058.1","3064.9","1121462.66","1939879"
"5400","2022-10-04","3029.95","3098","3023","3091.15","1131067.67","2145875"
"5400","2022-10-06","3111","3124","3092.45","3101.95","1135019.44","1790816"
"5400","2022-10-12","3084.9","3109.9","3062.05","3100.75","1134580.35","1665247"
"5400","2022-10-10","3010","3127","3005","3118.55","1141093.47","3064063"
"5400","2022-10-11","3100","3145","3053.35","3069.55","1123164.11","4730645"
"5400","2022-10-17","3072.65","3128.4","3071.45","3111.75","1138605.31","1517005"
"5400","2022-10-13","3100.75","3110","3052.35","3103.3","1135513.41","2054781"
"5400","2022-10-14","3145","3150","3071","3099.15","1133994.91","2245977"
"5400","2022-10-20","3105","3160","3105","3157.3","1155272.29","1587601"
"5400","2022-10-18","3150","3155.35","3128.55","3144.7","1150661.89","1793722"
"5400","2022-10-19","3159","3159","3112","3121.85","1142300.95","1194289"
"5400","2022-10-24","3170.1","3178","3155","3161.7","1156882.27","260949"
"5400","2022-10-21","3157.8","3160.4","3127","3137.4","1147990.78","1021913"
"5400","2022-10-27","3160.7","3174","3134.35","3157.4","1155308.88","2438421"
"5400","2022-10-25","3180.5","3184.25","3151.15","3162.1","1157028.63","2069643"
"5400","2022-10-31","3199","3199","3177.8","3193.15","1168389.99","1919414"
"5400","2022-10-28","3150","3178.5","3145","3163.25","1157449.43","1355739"
"5400","2022-11-01","3214.5","3262.6","3203.45","3259.7","1192740.98","2991060"
"5400","2022-11-03","3228.05","3228.05","3195","3206.75","1173366.3","1422652"
"5400","2022-11-02","3270","3270","3222.05","3241.7","1186154.68","1405955"
"5400","2022-11-07","3229","3242.8","3195.1","3233.7","1183227.44","1474498"
"5400","2022-11-04","3217","3220.05","3166.15","3217.4","1177263.19","1464013"
"5400","2022-11-14","3324","3349","3309","3335.5","1220476.59","1342074"
"5400","2022-11-09","3249.8","3249.8","3201.65","3216.05","1176769.22","1162267"
"5400","2022-11-10","3170","3225","3170","3205.65","1172963.8","1573092"
"5400","2022-11-11","3269.6","3341.6","3255.05","3315.95","1213323.14","3265394"
"5400","2022-11-15","3321","3339.95","3292","3332.6","1219415.46","1400708"
"5400","2022-11-24","3316.25","3392.95","3308.3","3380.15","1236814.25","1296591"
"5400","2022-11-16","3338.9","3367.9","3321.45","3355.35","1227739.8","1748235"
"5400","2022-11-17","3340","3360","3317.75","3349","1225416.3","1417986"
"5400","2022-11-18","3350","3362.75","3321","3343.45","1223385.53","1164540"
"5400","2022-11-21","3322.5","3333.7","3273","3283.5","1201449.52","1304194"
"5400","2022-11-22","3280","3318.95","3255.25","3314.95","1212957.23","1149739"
"5400","2022-11-23","3330","3330","3291","3308.3","1210523.97","1150011"
"5400","2022-11-29","3383","3429","3383","3397.35","1243107.82","1576028"
"5400","2022-11-25","3383","3403.35","3348","3389.65","1240290.35","1588981"
"5400","2022-11-28","3366","3417","3365.55","3395.25","1242339.42","2195437"
"5400","2022-12-01","3425","3480","3420","3475.65","1271758.19","2180856"
"5400","2022-11-30","3383","3414.9","3375","3390.8","1240711.14","3410702"
"5400","2022-12-06","3400.05","3407.95","3368","3385.35","1238716.96","1166999"
"5400","2022-12-02","3458.1","3468.9","3413","3439.15","1258402.65","2411749"
"5400","2022-12-05","3433","3439.15","3407","3425.9","1253554.41","1475065"
"5400","2022-12-08","3360","3380.6","3339.45","3350.55","1225983.46","1285619"
"5400","2022-12-07","3368.3","3393.7","3354","3380.6","1236978.91","1167505"
"5400","2022-12-13","3277.2","3336.45","3267.8","3332.1","1219232.51","1378016"
"5400","2022-12-12","3255.5","3296","3236.1","3286.45","1202528.94","1527610"
"5400","2022-12-09","3374.1","3374.1","3276.35","3292.75","1204834.14","1797896"
